id;name;type;description;capacity;plan_capacity;reserve
1;Generic Steel Tuna;website calculating;cross-platform support;2020-02-25T09:04:12;2020-02-25T14:27:50;wireless Chilean Peso Unidades de fomento
2;reboot;Dynamic magenta Track;actuating THX;2020-02-26T06:45:32;2020-02-25T10:15:18;Rustic Steel Soap Kina
3;navigating Metical;Incredible Infrastructure;Internal compressing;2020-02-25T19:31:50;2020-02-25T17:26:07;Bedfordshire
4;Credit Card Account;Gloves Lao People's Democratic Republic;neutral;2020-02-26T07:42:38;2020-02-26T07:44:43;Business-focused
5;Computer Oklahoma Identity;throughput;Village;2020-02-25T13:24:31;2020-02-25T09:49:58;Vermont indigo
6;JSON;New Mexico Implementation Steel;Shirt intangible;2020-02-26T02:11:24;2020-02-25T21:19:55;Crossroad invoice
7;Liaison;Keyboard;Central Ergonomic Concrete Ball;2020-02-25T11:33:34;2020-02-25T15:30:55;Gorgeous Rubber Cheese quantifying
8;cross-platform;multi-byte online Forward;open-source;2020-02-25T12:54:27;2020-02-26T04:38:18;efficient
9;Buckinghamshire;Practical AGP Implementation;wireless navigate grey;2020-02-25T21:48:44;2020-02-26T01:10:03;Automotive Massachusetts Checking Account
10;system-worthy;Ergonomic;Ergonomic Metal Keyboard full-range Cambridgeshire;2020-02-25T13:52:10;2020-02-26T04:54:12;National
