id;name;phenomenon_time;result;result_time;description;level;status;resolve_time;details
1;Borders strategic Towels;2020-02-25T16:59:19;compressing Barbados Dollar Berkshire;2020-02-25T23:02:20;Group Mongolia;holistic Computers;hacking Michigan;2020-02-25T22:16:11;Senior virtual
2;Down-sized;2020-02-25T18:28:53;Senior;2020-02-25T12:51:24;Developer;Electronics Passage Czech Koruna;Corporate Handmade generating;2020-02-25T12:01:29;bi-directional
3;open-source;2020-02-25T09:17:59;Qatari Rial envisioneer Terrace;2020-02-25T10:45:55;innovate;Forward synthesizing Route;USB Avon;2020-02-25T13:25:31;Montana
4;Saint Kitts and Nevis Refined Concrete Chips copy;2020-02-26T06:07:32;transmitter redundant;2020-02-25T19:39:03;Associate;interfaces Toys;THX;2020-02-25T09:45:40;Borders
5;copy payment;2020-02-26T06:32:36;Games;2020-02-26T00:40:11;Central;Personal Loan Account contextually-based;olive grow Lake;2020-02-26T07:50:16;Re-contextualized
6;application Jersey;2020-02-25T17:16:33;RAM;2020-02-25T23:13:56;solid state;projection index;multi-byte Avon Buckinghamshire;2020-02-26T08:47:45;programming virtual Chicken
7;mission-critical withdrawal plum;2020-02-25T18:13:19;Hat Wooden one-to-one;2020-02-25T19:15:00;payment;Accounts;Ranch;2020-02-25T20:54:29;connecting Supervisor Rapid
8;aggregate;2020-02-26T06:51:33;Identity;2020-02-25T13:47:50;asymmetric e-business haptic;Designer Checking Account plum;scalable;2020-02-26T05:34:16;payment
9;Persevering;2020-02-25T15:21:37;Officer Rustic Tasty;2020-02-25T23:20:39;payment;Hat;Home Loan Account;2020-02-26T07:32:08;Lebanon
10;Directives;2020-02-26T00:08:27;Home;2020-02-25T08:51:36;payment;Sharable Unbranded Concrete Bike lime;Integration Organized;2020-02-26T05:08:01;Baby Industrial Savings Account
