id;name;device_id;description
1;Mississippi Buckinghamshire scalable;CSS port Alabama;asymmetric silver Home Loan Account
2;Programmable;Quality;Haiti quantify
3;Viaduct Granite;Common Multi-tiered;payment Seychelles
4;Cambridgeshire Handmade Fresh Chicken Rubber;withdrawal bandwidth Investment Account;Grocery
5;Bacon digital upward-trending;Corporate;next-generation
6;Streets Front-line input;Shoes Soft Progressive;Plastic
7;Intelligent District;Cambridgeshire Sleek Bedfordshire;quantify metrics
8;didactic markets Latvian Lats;Designer;Algeria Incredible
9;deliverables;Intelligent Granite Mouse;transmitting indexing Money Market Account
10;black port;Cape Verde Escudo Outdoors Colombian Peso Unidad de Valor Real;aggregate
