id;phenomenon_time;result;result_time;property;unit_of_measurement;interval_time;reserve
1;2020-02-26T07:35:24;parallelism Automotive;2020-02-26T00:20:59;XML Oklahoma multi-byte;Auto Loan Account;17192;Small Frozen Shirt Uganda artificial intelligence
2;2020-02-25T23:00:15;Expressway Manors Shoes;2020-02-26T05:45:56;Manager XSS;Multi-channelled proactive;86335;Personal Loan Account
3;2020-02-25T16:22:12;Bedfordshire secondary;2020-02-25T09:17:28;Towels Indian Rupee connect;infrastructure revolutionary;79461;Hawaii
4;2020-02-25T15:49:16;Papua New Guinea Ergonomic interface;2020-02-26T04:36:33;Indian Rupee Ngultrum;Customer;63860;Morocco
5;2020-02-26T01:10:20;navigate alarm Representative;2020-02-26T04:24:46;Future Wyoming;Club;57540;Practical Soft Tuna
6;2020-02-26T06:48:50;Cross-platform transition;2020-02-25T19:03:10;firewall;Rustic Steel Table;66713;Vermont indigo Kids
7;2020-02-26T02:08:02;Home Loan Account backing up;2020-02-25T19:49:45;generating Awesome Plastic Keyboard;integrate;81356;next-generation global
8;2020-02-25T18:35:12;invoice Dynamic portals;2020-02-25T14:41:40;extend;supply-chains;50586;Manager Nevada
9;2020-02-25T18:55:56;Cross-platform back up;2020-02-25T08:58:42;Small;sky blue client-server;50871;Programmable Bypass North Korean Won
10;2020-02-25T16:57:35;Intranet Cliff;2020-02-26T05:14:51;Manor;Sleek Frozen Tuna;51619;orange
