id;name;type;description;capacity;plan_capacity;reserve
1;Money Market Account;Right-sized;Central Executive;2020-02-26T03:46:10;2020-02-25T09:46:41;Tuvalu JSON
2;Overpass Small;Arkansas Sports;olive Libyan Dinar Implementation;2020-02-25T10:40:29;2020-02-25T23:46:12;generating multi-byte
3;Corporate synergize;Expressway Nakfa;Operative Florida;2020-02-25T13:41:31;2020-02-26T07:56:36;GB overriding
4;hack Points;interface Outdoors;Ergonomic AGP auxiliary;2020-02-26T07:53:44;2020-02-25T19:54:57;Center sexy
5;deposit;copying black;Shirt Ergonomic Reactive;2020-02-25T22:37:06;2020-02-25T16:37:03;application withdrawal
6;Agent;silver;deploy turn-key Investor;2020-02-25T16:16:10;2020-02-25T12:12:00;AGP
7;transmit auxiliary;Garden incubate Rustic;protocol Buckinghamshire;2020-02-25T14:16:25;2020-02-25T14:16:50;rich methodology
8;forecast;Saint Helena e-business neural;Fresh;2020-02-26T08:28:31;2020-02-26T07:33:27;Avon Managed Sports
9;withdrawal synergies Interactions;indigo Borders Home;Cotton Gateway Buckinghamshire;2020-02-25T16:07:26;2020-02-25T18:22:36;SMS
10;empower silver;Rapid;deposit black Architect;2020-02-25T11:05:37;2020-02-25T19:18:36;Savings Account
