id;name;phenomenon_time;result;result_time;description;interval_time;type;unit_of_measurement;reserve
1;strategic Plastic New York;2020-02-25T19:27:14;Massachusetts;2020-02-25T18:16:08;multi-state;43973;copy wireless;convergence calculating;Avon Buckinghamshire wireless
2;Generic;2020-02-25T11:15:26;Jewelery;2020-02-26T03:01:27;connecting Spain;69434;Face to face capacitor Persistent;Gorgeous;Cliff Cambridgeshire
3;platforms B2B instruction set;2020-02-26T01:09:02;Hawaii empower;2020-02-25T11:46:23;Auto Loan Account back-end;96717;Gourde US Dollar Table;Fantastic copying Rapids;Internal
4;Madagascar;2020-02-26T05:06:52;Integrated;2020-02-25T15:27:56;Avon Coves Chief;44519;e-commerce Supervisor Mississippi;Savings Account;Auto Loan Account Money Market Account
5;Administrator Frozen;2020-02-25T19:16:39;drive Fantastic transmit;2020-02-25T17:06:28;Buckinghamshire Health;11725;black payment;HDD;Intelligent
6;Small Soft Towels;2020-02-25T08:51:00;Fords Sleek;2020-02-25T14:28:59;Florida Games;55601;tertiary Pre-emptive;connect;infrastructures
7;Kenyan Shilling Kenyan Shilling auxiliary;2020-02-26T07:49:01;Intelligent Rubber Fish;2020-02-25T22:30:30;connecting;50612;knowledge user Handmade Wooden Mouse;virtual neural;Future
8;Health;2020-02-25T20:53:55;Tanzanian Shilling Kansas Soft;2020-02-25T16:25:10;Stream;35819;Wyoming North Dakota Fantastic Soft Keyboard;Human Borders;vortals
9;throughput;2020-02-25T14:57:12;Handcrafted Assistant;2020-02-26T07:23:06;auxiliary quantifying;15144;Ways;Reverse-engineered front-end Slovakia (Slovak Republic);De-engineered
10;Associate;2020-02-26T08:08:09;panel paradigms Generic;2020-02-25T13:20:45;Investor Solutions Pants;95789;Cayman Islands Dollar;system-worthy application;Facilitator deposit incremental
